id,name,layer,region,hq,founded,website,role,capabilities,products,notes
Arm,Arm,IP,英国,剑桥,1990,arm.com,CPU IP 巨头（Cortex-A/R/M / Mali GPU）,CPU IP|GPU IP|NPU IP (Ethos)|总线 IP (AMBA)|设计服务,Cortex-A55/A76/A78/X3|Cortex-M0/M3/M33/M55|Mali-G52/G610|Ethos-N78/U55,RK3566 用 4×A55+Mali-G52；RK3588 用 4×A76+4×A55+Mali-G610。
Synopsys,Synopsys 新思科技,EDA/IP,美国,岗拉辛迪,1986,synopsys.com,EDA 龙头 + DesignWare 接口 IP,逻辑综合 (DC)|物理设计 (Fusion)|签核 (PT)|仿真|接口 IP,Design Compiler|IC Compiler II|PrimeTime|VCS|DesignWare USB/PCIe/DDR/MIPI,EDA 三巨头之一。
Cadence,Cadence 思唯,EDA/IP,美国,圣他克拉拉,1988,cadence.com,EDA + Tensilica DSP IP,模拟仿真 (Spectre)|数字实现|硬件仿真加速|封装/PCB EDA|DSP IP,Virtuoso|Innovus|Genus|Palladium|Tensilica HiFi/Vision DSP,Tensilica HiFi DSP 广泛被音频芯片集成。
Imagination,Imagination Tech,IP,英国,圣尔抑斯,1985,imaginationtech.com,PowerVR GPU / NPU IP,GPU IP|NPU IP|光追踪|车载 ISP,IMG BXT/BXM/BXS|PowerVR Series9XE|IMG NNA,被中资背景股东控股；RISC-V Catapult 产品线。
SiFive,SiFive,IP,美国,圣克拉拉,2015,sifive.com,RISC-V CPU IP,RISC-V CPU IP|定制核服务,U74/U54|P650/P870|X280 Vector,
VeriSilicon,芯原股份 VeriSilicon,IP,中国大陆,上海,2001,verisilicon.com,一站式芯片定制 + GPU/NPU/ISP IP,SoC 定制设计服务|GPU IP (Vivante)|NPU IP (VIP)|ISP IP|VPU IP,Vivante GC GPU|VIP9000 NPU|Hantro VPU|ZSP DSP,国内最大 IP/设计服务商。
Innosilicon,芯动科技 Innosilicon,IP,中国大陆,武汉,2006,innosilicon.com.cn,高速接口 IP / GDDR PHY / GPU,DDR/LPDDR/GDDR PHY|PCIe/SerDes|HDMI/DP|独立 GPU 芯片,DDR4/5 PHY|GDDR6X|Fenghua 风华GPU,
Empyrean,华大九天 Empyrean,EDA,中国大陆,北京,2009,empyrean.com.cn,国产 EDA 龙头,模拟全流程|面板设计全流程|存储器 EDA|快仿真,ALPS|Aether|Argus|XTime,A 股上市（688150）。国产替代主力。
Primarius,概伦电子 Primarius,EDA,中国大陆,上海,2010,primarius-tech.com,器件建模 / 电路仿真 EDA,SPICE 建模|快仿真|存储 EDA,NanoSpice|BSIMProPlus,A 股上市（688206）。
XEPIC,芯华章 X-EPIC,EDA,中国大陆,南京,2020,x-epic.com,数字验证 EDA,仿真器|形式验证|硬件仿真加速,GalaxSim|GalaxFV|GalaxEC,
